score	frequency	year
1	0	2003
2	0	2003
3	0	2003
4	0	2003
5	0	2003
6	0	2003
7	0	2003
8	0	2003
9	0	2003
10	0	2003
11	0	2003
12	0	2003
13	0	2003
14	0	2003
15	0	2003
16	0	2003
17	0	2003
18	0	2003
19	0	2003
20	0	2003
21	0	2003
22	0	2003
23	0	2003
24	0	2003
25	0	2003
26	0	2003
27	0	2003
28	0	2003
29	0	2003
30	0	2003
31	0	2003
32	0	2003
33	0	2003
34	0	2003
35	0	2003
36	0	2003
37	0	2003
38	0	2003
39	0	2003
40	0	2003
41	0	2003
42	0	2003
43	0	2003
44	0	2003
45	0	2003
46	0	2003
47	0	2003
48	0	2003
49	0	2003
50	0	2003
51	0	2003
52	0	2003
53	0	2003
54	0	2003
55	0	2003
56	0	2003
57	0	2003
58	0	2003
59	0	2003
60	0	2003
61	0	2003
62	0	2003
63	0	2003
64	0	2003
65	0	2003
66	0	2003
67	1	2003
68	0	2003
69	0	2003
70	0	2003
71	1	2003
72	2	2003
73	0	2003
74	4	2003
75	2	2003
76	1	2003
77	6	2003
78	3	2003
79	5	2003
80	4	2003
81	8	2003
82	10	2003
83	15	2003
84	15	2003
85	9	2003
86	17	2003
87	24	2003
88	28	2003
89	39	2003
90	26	2003
91	33	2003
92	40	2003
93	43	2003
94	38	2003
95	43	2003
96	43	2003
97	48	2003
98	48	2003
99	55	2003
100	43	2003
101	54	2003
102	43	2003
103	49	2003
104	35	2003
105	35	2003
106	37	2003
107	52	2003
108	42	2003
109	32	2003
110	33	2003
111	34	2003
112	19	2003
113	18	2003
114	22	2003
115	16	2003
116	10	2003
117	16	2003
118	14	2003
119	15	2003
120	7	2003
121	5	2003
122	7	2003
123	1	2003
124	6	2003
125	7	2003
126	5	2003
127	0	2003
128	2	2003
129	1	2003
130	0	2003
131	0	2003
132	1	2003
133	0	2003
134	0	2003
135	1	2003
136	0	2003
137	0	2003
138	1	2003
139	0	2003
140	2	2003
141	1	2003
