score	winPercentage	nGames	pVal
1	0.534247	1314	0.007024365721
2	0.531963	1314	0.011001197639
3	0.549467	1314	0.000184478516
4	0.544140	1314	0.000750945141
5	0.531202	1314	0.012705311226
6	0.537291	1314	0.003714529161
7	0.565449	1314	0.000001157668
8	0.579148	1314	0.000000005263
9	0.576104	1314	0.000000018988
10	0.577626	1314	0.000000010057
11	0.576104	1314	0.000000018988
12	0.589041	1314	0.000000000058
13	0.585236	1314	0.000000000349
14	0.597412	1314	0.000000000001
15	0.611872	1314	0.000000000000
16	0.608067	1314	0.000000000000
17	0.610350	1314	0.000000000000
18	0.620244	1314	0.000000000000
19	0.620244	1314	0.000000000000
20	0.627854	1314	0.000000000000
21	0.634703	1314	0.000000000000
22	0.639269	1314	0.000000000000
23	0.636225	1314	0.000000000000
24	0.639269	1314	0.000000000000
25	0.660578	1314	0.000000000000
26	0.668950	1314	0.000000000000
27	0.668950	1314	0.000000000000
28	0.668950	1314	0.000000000000
29	0.664384	1314	0.000000000000
30	0.678843	1314	0.000000000000
31	0.668950	1314	0.000000000000
32	0.679604	1314	0.000000000000
33	0.686454	1314	0.000000000000
34	0.687976	1314	0.000000000000
35	0.684932	1314	0.000000000000
36	0.681887	1314	0.000000000000
37	0.691781	1314	0.000000000000
38	0.693303	1314	0.000000000000
39	0.692542	1314	0.000000000000
40	0.704718	1314	0.000000000000
41	0.713851	1314	0.000000000000
42	0.710807	1314	0.000000000000
43	0.716134	1314	0.000000000000
44	0.710046	1314	0.000000000000
45	0.710807	1314	0.000000000000
46	0.715373	1314	0.000000000000
47	0.722983	1314	0.000000000000
48	0.716895	1314	0.000000000000
49	0.730594	1314	0.000000000000
50	0.732116	1314	0.000000000000
51	0.742009	1314	0.000000000000
52	0.742009	1314	0.000000000000
53	0.747336	1314	0.000000000000
54	0.761035	1314	0.000000000000
55	0.760274	1314	0.000000000000
56	0.760274	1314	0.000000000000
57	0.753425	1314	0.000000000000
58	0.753425	1314	0.000000000000
59	0.767884	1314	0.000000000000
60	0.783866	1314	0.000000000000
61	0.783866	1314	0.000000000000
62	0.796804	1314	0.000000000000
63	0.799087	1314	0.000000000000
64	0.802131	1314	0.000000000000
65	0.804414	1314	0.000000000000
66	0.793760	1314	0.000000000000
67	0.804414	1314	0.000000000000
68	0.803653	1314	0.000000000000
69	0.808980	1314	0.000000000000
70	0.802892	1314	0.000000000000
71	0.823440	1314	0.000000000000
72	0.814928	1313	0.000000000000
73	0.816451	1313	0.000000000000
74	0.833206	1313	0.000000000000
75	0.836890	1312	0.000000000000
76	0.838415	1312	0.000000000000
77	0.839817	1311	0.000000000000
78	0.841864	1309	0.000000000000
79	0.850917	1308	0.000000000000
80	0.857580	1306	0.000000000000
81	0.865031	1304	0.000000000000
82	0.866821	1299	0.000000000000
83	0.868624	1294	0.000000000000
84	0.868319	1291	0.000000000000
85	0.867807	1286	0.000000000000
86	0.881939	1279	0.000000000000
87	0.889590	1268	0.000000000000
88	0.891827	1248	0.000000000000
89	0.897561	1230	0.000000000000
90	0.893652	1213	0.000000000000
91	0.900254	1183	0.000000000000
92	0.900515	1166	0.000000000000
93	0.906112	1129	0.000000000000
94	0.902841	1091	0.000000000000
95	0.916432	1065	0.000000000000
96	0.914397	1028	0.000000000000
97	0.911765	986	0.000000000000
98	0.915778	938	0.000000000000
99	0.923503	902	0.000000000000
100	0.925089	841	0.000000000000
101	0.932996	791	0.000000000000
102	0.943624	745	0.000000000000
103	0.955460	696	0.000000000000
104	0.957547	636	0.000000000000
105	0.954861	576	0.000000000000
106	0.953033	511	0.000000000000
107	0.959315	467	0.000000000000
108	0.961905	420	0.000000000000
109	0.965054	372	0.000000000000
110	0.961194	335	0.000000000000
111	0.957377	305	0.000000000000
112	0.963899	277	0.000000000000
113	0.968127	251	0.000000000000
114	0.966981	212	0.000000000000
115	0.962162	185	0.000000000000
116	0.945455	165	0.000000000000
117	0.958042	143	0.000000000000
118	0.965812	117	0.000000000000
119	0.989899	99	0.000000000000
120	0.987342	79	0.000000000000
121	1.000000	67	0.000000000000
122	0.982759	58	0.000000000000
123	0.979592	49	0.000000000000
124	0.977273	44	0.000000000003
125	1.000000	39	0.000000000002
126	1.000000	29	0.000000001863
127	0.958333	24	0.000001490116
128	1.000000	20	0.000000953674
129	1.000000	18	0.000003814697
130	0.933333	15	0.000488281250
131	1.000000	14	0.000061035156
132	1.000000	9	0.001953125000
133	1.000000	7	0.007812500000
134	1.000000	7	0.007812500000
135	1.000000	6	0.015625000000
136	1.000000	6	0.015625000000
137	1.000000	4	0.062500000000
138	1.000000	4	0.062500000000
139	1.000000	4	0.062500000000
140	1.000000	4	0.062500000000
141	1.000000	2	0.250000000000
142	1.000000	1	0.500000000000
