score	gamesWon
1	616
2	609
3	614
4	628
5	634
6	637
7	637
8	641
9	651
10	666
11	685
12	675
13	683
14	697
15	701
16	712
17	708
18	713
19	729
20	733
21	729
22	736
23	729
24	733
25	730
26	720
27	734
28	731
29	736
30	736
31	741
32	737
33	762
34	752
35	752
36	760
37	757
38	762
39	754
40	780
41	767
42	772
43	782
44	770
45	774
46	778
47	782
48	798
49	802
50	792
51	805
52	816
53	823
54	823
55	817
56	830
57	829
58	825
59	833
60	839
61	852
62	838
63	855
64	860
65	857
66	866
67	875
68	884
69	887
70	886
71	886
72	880
73	885
74	885
75	882
76	889
77	888
78	891
79	898
80	897
81	913
82	908
83	915
84	913
85	923
86	930
87	922
88	924
89	929
90	931
91	921
92	927
93	929
94	946
95	946
96	948
97	946
98	965
99	963
100	956
101	957
102	957
103	945
104	936
105	928
106	905
107	882
108	854
109	833
110	803
111	772
112	739
113	700
114	658
115	627
116	593
117	555
118	507
119	478
120	443
121	416
122	376
123	333
124	303
125	279
126	243
127	221
128	187
129	163
130	133
131	119
132	108
133	98
134	89
135	77
136	65
137	55
138	47
139	42
140	31
141	20
142	15
143	12
144	10
145	10
146	9
147	9
148	9
149	9
150	8
151	5
152	4
153	4
154	2
155	1
156	2
157	2
158	2
159	1
