score	frequency	year
73	1	2006
74	1	2006
75	2	2006
76	3	2006
77	1	2006
78	2	2006
79	4	2006
80	4	2006
81	3	2006
82	6	2006
83	10	2006
84	15	2006
85	19	2006
86	17	2006
87	10	2006
88	18	2006
89	30	2006
90	36	2006
91	36	2006
92	27	2006
93	32	2006
94	40	2006
95	44	2006
96	38	2006
97	49	2006
98	48	2006
99	41	2006
100	49	2006
101	44	2006
102	63	2006
103	51	2006
104	40	2006
105	48	2006
106	48	2006
107	37	2006
108	37	2006
109	41	2006
110	37	2006
111	43	2006
112	23	2006
113	33	2006
114	27	2006
115	23	2006
116	16	2006
117	18	2006
118	15	2006
119	13	2006
120	12	2006
121	10	2006
122	11	2006
123	10	2006
124	4	2006
125	7	2006
126	3	2006
127	3	2006
128	3	2006
129	3	2006
130	3	2006
132	1	2006
136	1	2006
137	1	2006
139	1	2006
140	2	2006
152	1	2006
75	2	2007
77	2	2007
78	1	2007
79	2	2007
80	1	2007
81	8	2007
82	5	2007
83	4	2007
84	5	2007
85	8	2007
86	18	2007
87	11	2007
88	20	2007
89	13	2007
90	24	2007
91	25	2007
92	44	2007
93	28	2007
94	40	2007
95	41	2007
96	42	2007
97	40	2007
98	43	2007
99	47	2007
100	59	2007
101	50	2007
102	45	2007
103	50	2007
104	46	2007
105	49	2007
106	50	2007
107	34	2007
108	44	2007
109	44	2007
110	33	2007
111	33	2007
112	36	2007
113	30	2007
114	26	2007
115	30	2007
116	23	2007
117	18	2007
118	21	2007
119	12	2007
120	15	2007
121	14	2007
122	11	2007
123	8	2007
124	8	2007
125	5	2007
126	10	2007
127	4	2007
128	3	2007
129	3	2007
130	1	2007
131	3	2007
132	3	2007
133	2	2007
134	1	2007
135	3	2007
136	1	2007
137	1	2007
140	1	2007
144	2	2007
147	1	2007
151	1	2007
161	1	2007
72	1	2008
74	1	2008
75	1	2008
76	1	2008
77	1	2008
78	2	2008
79	1	2008
80	4	2008
81	1	2008
82	2	2008
83	7	2008
84	7	2008
85	11	2008
86	6	2008
87	13	2008
88	18	2008
89	18	2008
90	25	2008
91	30	2008
92	24	2008
93	23	2008
94	26	2008
95	29	2008
96	36	2008
97	37	2008
98	36	2008
99	40	2008
100	50	2008
101	43	2008
102	42	2008
103	59	2008
104	48	2008
105	55	2008
106	45	2008
107	33	2008
108	40	2008
109	39	2008
110	45	2008
111	42	2008
112	34	2008
113	33	2008
114	29	2008
115	22	2008
116	32	2008
117	36	2008
118	21	2008
119	23	2008
120	22	2008
121	13	2008
122	19	2008
123	18	2008
124	10	2008
125	9	2008
126	7	2008
127	11	2008
128	5	2008
129	3	2008
130	4	2008
131	2	2008
132	6	2008
133	1	2008
134	2	2008
135	2	2008
136	2	2008
137	2	2008
138	1	2008
140	1	2008
151	2	2008
168	1	2008
77	1	2009
78	2	2009
79	3	2009
80	4	2009
81	3	2009
82	3	2009
83	4	2009
84	5	2009
85	5	2009
86	11	2009
87	11	2009
88	21	2009
89	19	2009
90	20	2009
91	24	2009
92	16	2009
93	31	2009
94	30	2009
95	35	2009
96	35	2009
97	29	2009
98	50	2009
99	52	2009
100	49	2009
101	43	2009
102	46	2009
103	44	2009
104	42	2009
105	56	2009
106	53	2009
107	64	2009
108	44	2009
109	39	2009
110	37	2009
111	29	2009
112	35	2009
113	31	2009
114	35	2009
115	27	2009
116	25	2009
117	28	2009
118	24	2009
119	24	2009
120	16	2009
121	13	2009
122	17	2009
123	4	2009
124	10	2009
125	5	2009
126	9	2009
127	5	2009
128	7	2009
129	9	2009
130	5	2009
131	1	2009
132	4	2009
133	4	2009
134	1	2009
135	4	2009
138	1	2009
139	2	2009
140	5	2009
142	1	2009
143	1	2009
144	1	2009
154	1	2009
76	1	2010
77	1	2010
79	2	2010
80	3	2010
81	2	2010
82	1	2010
83	10	2010
84	2	2010
85	4	2010
86	10	2010
87	8	2010
88	9	2010
89	6	2010
90	13	2010
91	18	2010
92	28	2010
93	28	2010
