year	winPercentage	gamesPlayed
1997	0.940000	750
1998	0.958652	653
1999	0.950658	304
2000	0.961783	785
2001	0.954614	661
2002	0.956325	664
2003	0.926426	666
2004	0.948812	547
2005	0.929204	791
2006	0.930946	782
2007	0.928144	835
2008	0.944201	914
2009	0.925638	901
2010	0.935378	913
2011	0.937788	868
2012	0.943802	605
2013	0.925089	841
2014	0.931911	984
2015	0.941799	945
2016	0.936493	1055
2017	0.903169	1136
2018	0.906005	1149
2019	0.877518	1241
2020	0.877064	1090
2021	0.886344	1135
2022	0.904032	1240
2023	0.862150	1284
2024	0.872525	808
